iter,time,reward,steps,convergence
104,0.35288901099999315,-2.9,12.99,1.011801472117213e-05
105,0.3575931429999919,-3.8,12.38,8.97362943064195e-06
106,0.35947953699999147,-2.72,12.99,7.958678398978236e-06
107,0.3610970499999926,-0.62,12.78,7.058522118796873e-06
108,0.36290638899999195,1.7,11.83,6.2601768817671655e-06
109,0.364812828999991,-4.3,12.43,5.552127465335843e-06
110,0.36617549599998966,-5.4,12.54,4.924161100205993e-06
111,0.3686747479999912,-3.8,12.38,4.367220071799238e-06
112,0.37218250799999275,-2.5,12.25,3.873271150922619e-06
113,0.3742963639999921,-1.9,12.19,3.4351897078011007e-06
114,0.3774479819999925,0.12,13.37,3.04665690720185e-06
115,0.3792059889999919,2.2,11.78,2.7020686204082267e-06
116,0.38168367799999103,-7.63,14.89,2.3964545583510244e-06
117,0.3848771219999918,0.49,12.57,2.1254065885045748e-06
118,0.38809478999999314,-6.09,13.3,1.885015159075465e-06
119,0.40125258399999275,-3.37,13.01,1.6718128996728865e-06
120,0.4049495009999937,-0.7,12.07,1.4827246097581792e-06
121,0.40766089399999395,-3.4,13.74,1.315022913672692e-06
122,0.41260814599999485,-1.1,12.11,1.1662889072283633e-06
123,0.4181309359999936,-3.2,12.32,1.0343772700593945e-06
124,0.42305098799999286,0.7,11.93,9.17385335696963e-07
